optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
adam,1,10,0.0077047637,0.08473540097475052,Bilbao-Vizcaya,GOW
adam,1,50,0.007363178,0.08826729655265808,Bilbao-Vizcaya,GOW
adam,1,100,0.008247083,0.09090221673250198,Bilbao-Vizcaya,GOW
adam,1,200,0.008777678,0.08832862228155136,Bilbao-Vizcaya,GOW
adam,5,10,0.008877755,0.5322834849357605,Bilbao-Vizcaya,GOW
adam,5,50,0.008877755,0.5372717976570129,Bilbao-Vizcaya,GOW
adam,5,100,0.008877755,0.3929392099380493,Bilbao-Vizcaya,GOW
adam,5,200,0.008877755,0.17970749735832214,Bilbao-Vizcaya,GOW
adam,10,10,0.008877755,1.0938845872879028,Bilbao-Vizcaya,GOW
adam,10,50,0.008877755,0.4054170250892639,Bilbao-Vizcaya,GOW
adam,10,100,0.008827575,0.3868628144264221,Bilbao-Vizcaya,GOW
adam,10,200,0.008877755,1.068287968635559,Bilbao-Vizcaya,GOW
adam,15,10,0.008877755,4.655368328094482,Bilbao-Vizcaya,GOW
adam,15,50,0.008877755,0.48798203468322754,Bilbao-Vizcaya,GOW
adam,15,100,0.008877755,1.0672709941864014,Bilbao-Vizcaya,GOW
adam,15,200,0.008877755,1.067370057106018,Bilbao-Vizcaya,GOW
sgd,1,10,0.006878983,0.08816288411617279,Bilbao-Vizcaya,GOW
sgd,1,50,0.007489461,0.08254259824752808,Bilbao-Vizcaya,GOW
sgd,1,100,0.0070367362,0.08180788904428482,Bilbao-Vizcaya,GOW
sgd,1,200,0.00653685,0.0815393477678299,Bilbao-Vizcaya,GOW
sgd,5,10,0.008777678,0.6999778747558594,Bilbao-Vizcaya,GOW
sgd,5,50,0.008827575,0.4904833734035492,Bilbao-Vizcaya,GOW
sgd,5,100,0.008827575,0.32013362646102905,Bilbao-Vizcaya,GOW
sgd,5,200,0.008877755,0.25330859422683716,Bilbao-Vizcaya,GOW
sgd,10,10,0.008777678,0.9527866244316101,Bilbao-Vizcaya,GOW
sgd,10,50,0.008532394,0.20193105936050415,Bilbao-Vizcaya,GOW
sgd,10,100,0.008293963,0.18373578786849976,Bilbao-Vizcaya,GOW
sgd,10,200,0.008777678,0.1701933592557907,Bilbao-Vizcaya,GOW
sgd,15,10,0.008877755,1.4065481424331665,Bilbao-Vizcaya,GOW
sgd,15,50,0.008532394,0.3294367790222168,Bilbao-Vizcaya,GOW
sgd,15,100,0.008728064,0.44746413826942444,Bilbao-Vizcaya,GOW
sgd,15,200,0.008777678,0.32535383105278015,Bilbao-Vizcaya,GOW
rmsprop,1,10,0.007489461,0.08834550529718399,Bilbao-Vizcaya,GOW
rmsprop,1,50,0.008777678,0.0867297425866127,Bilbao-Vizcaya,GOW
rmsprop,1,100,0.008877755,0.09577585011720657,Bilbao-Vizcaya,GOW
rmsprop,1,200,0.0077485614,0.09106249362230301,Bilbao-Vizcaya,GOW
rmsprop,5,10,0.008877755,0.7033854722976685,Bilbao-Vizcaya,GOW
rmsprop,5,50,0.008728064,0.44669896364212036,Bilbao-Vizcaya,GOW
rmsprop,5,100,0.008728064,0.25373944640159607,Bilbao-Vizcaya,GOW
rmsprop,5,200,0.008877755,0.2605789303779602,Bilbao-Vizcaya,GOW
rmsprop,10,10,0.008016625,0.821533203125,Bilbao-Vizcaya,GOW
rmsprop,10,50,0.008877755,0.4416608214378357,Bilbao-Vizcaya,GOW
rmsprop,10,100,0.008877755,0.4624718129634857,Bilbao-Vizcaya,GOW
rmsprop,10,200,0.008827575,0.37222200632095337,Bilbao-Vizcaya,GOW
rmsprop,15,10,0.008877755,0.6119967103004456,Bilbao-Vizcaya,GOW
rmsprop,15,50,0.008877755,0.5052293539047241,Bilbao-Vizcaya,GOW
rmsprop,15,100,0.008728064,0.4550054967403412,Bilbao-Vizcaya,GOW
rmsprop,15,200,0.008777678,0.6756632328033447,Bilbao-Vizcaya,GOW
adam,1,10,0.0064266287,0.08465202897787094,Bilbao-Vizcaya,COP
adam,1,50,0.007363178,0.08452372997999191,Bilbao-Vizcaya,COP
adam,1,100,0.0071574203,0.09177646785974503,Bilbao-Vizcaya,COP
adam,1,200,0.008154116,0.09823408722877502,Bilbao-Vizcaya,COP
adam,5,10,0.008877755,0.8313119411468506,Bilbao-Vizcaya,COP
adam,5,50,0.008877755,0.704774796962738,Bilbao-Vizcaya,COP
adam,5,100,0.008877755,0.3952537775039673,Bilbao-Vizcaya,COP
adam,5,200,0.008877755,0.2884218990802765,Bilbao-Vizcaya,COP
adam,10,10,0.008827575,1.2510747909545898,Bilbao-Vizcaya,COP
adam,10,50,0.008877755,1.2774155139923096,Bilbao-Vizcaya,COP
adam,10,100,0.008877755,0.3614270091056824,Bilbao-Vizcaya,COP
adam,10,200,0.008877755,0.5374924540519714,Bilbao-Vizcaya,COP
adam,15,10,0.008827575,5.194505214691162,Bilbao-Vizcaya,COP
adam,15,50,0.008877755,0.6308303475379944,Bilbao-Vizcaya,COP
adam,15,100,0.008877755,1.0668201446533203,Bilbao-Vizcaya,COP
adam,15,200,0.0056731543,1.0700700283050537,Bilbao-Vizcaya,COP
sgd,1,10,0.0073215584,0.08670315891504288,Bilbao-Vizcaya,COP
sgd,1,50,0.006996962,0.08417614549398422,Bilbao-Vizcaya,COP
sgd,1,100,0.0063903034,0.08421042561531067,Bilbao-Vizcaya,COP
sgd,1,200,0.00834111,0.08412090688943863,Bilbao-Vizcaya,COP
sgd,5,10,0.008877755,0.7017003893852234,Bilbao-Vizcaya,COP
sgd,5,50,0.008877755,0.41252636909484863,Bilbao-Vizcaya,COP
sgd,5,100,0.008877755,0.3809148669242859,Bilbao-Vizcaya,COP
sgd,5,200,0.008827575,0.3319433629512787,Bilbao-Vizcaya,COP
sgd,10,10,0.008777678,1.0706473588943481,Bilbao-Vizcaya,COP
sgd,10,50,0.008777678,0.235450878739357,Bilbao-Vizcaya,COP
sgd,10,100,0.008108025,0.17412923276424408,Bilbao-Vizcaya,COP
sgd,10,200,0.008728064,0.18207885324954987,Bilbao-Vizcaya,COP
sgd,15,10,0.008827575,1.3078505992889404,Bilbao-Vizcaya,COP
sgd,15,50,0.008629674,0.27762702107429504,Bilbao-Vizcaya,COP
sgd,15,100,0.008728064,0.3995097577571869,Bilbao-Vizcaya,COP
sgd,15,200,0.008629674,0.26618751883506775,Bilbao-Vizcaya,COP
rmsprop,1,10,0.008154116,0.09470786899328232,Bilbao-Vizcaya,COP
