optimizer,n_layers,n_neurons,learning_rate,mse,loc,model
adam,1,10,0.008108025,0.21671783924102783,Bilbao-Vizcaya,GOW
adam,1,50,0.008877755,0.21927663683891296,Bilbao-Vizcaya,GOW
adam,1,100,0.008877755,0.2778797149658203,Bilbao-Vizcaya,GOW
adam,1,200,0.0075320345,0.24557849764823914,Bilbao-Vizcaya,GOW
adam,5,10,0.008827575,1.9062708616256714,Bilbao-Vizcaya,GOW
adam,5,50,0.008877755,1.331379771232605,Bilbao-Vizcaya,GOW
adam,5,100,0.008728064,0.2741166949272156,Bilbao-Vizcaya,GOW
adam,5,200,0.008777678,0.22480519115924835,Bilbao-Vizcaya,GOW
adam,10,10,0.008827575,2.8692150115966797,Bilbao-Vizcaya,GOW
adam,10,50,0.008728064,0.6379823088645935,Bilbao-Vizcaya,GOW
adam,10,100,0.008877755,0.35194024443626404,Bilbao-Vizcaya,GOW
adam,10,200,0.008877755,0.4546748399734497,Bilbao-Vizcaya,GOW
adam,15,10,0.008877755,2.787062168121338,Bilbao-Vizcaya,GOW
adam,15,50,0.00867873,1.926782488822937,Bilbao-Vizcaya,GOW
adam,15,100,0.008877755,1.92731773853302,Bilbao-Vizcaya,GOW
adam,15,200,0.0071574203,1.9286631345748901,Bilbao-Vizcaya,GOW
sgd,1,10,0.006878983,0.22161008417606354,Bilbao-Vizcaya,GOW
sgd,1,50,0.0069180867,0.19392773509025574,Bilbao-Vizcaya,GOW
sgd,1,100,0.0056731543,0.1873762309551239,Bilbao-Vizcaya,GOW
sgd,1,200,0.0056731543,0.18898460268974304,Bilbao-Vizcaya,GOW
sgd,5,10,0.008827575,1.11708664894104,Bilbao-Vizcaya,GOW
sgd,5,50,0.008777678,1.1074482202529907,Bilbao-Vizcaya,GOW
sgd,5,100,0.008777678,0.685188889503479,Bilbao-Vizcaya,GOW
sgd,5,200,0.00867873,0.4473056197166443,Bilbao-Vizcaya,GOW
sgd,10,10,0.00867873,1.3421276807785034,Bilbao-Vizcaya,GOW
sgd,10,50,0.008777678,0.29763492941856384,Bilbao-Vizcaya,GOW
sgd,10,100,0.008728064,0.33129796385765076,Bilbao-Vizcaya,GOW
sgd,10,200,0.008580896,0.6566557288169861,Bilbao-Vizcaya,GOW
sgd,15,10,0.008877755,2.113598108291626,Bilbao-Vizcaya,GOW
sgd,15,50,0.008580896,0.3512745201587677,Bilbao-Vizcaya,GOW
sgd,15,100,0.008777678,0.32022884488105774,Bilbao-Vizcaya,GOW
sgd,15,200,0.008777678,0.42087215185165405,Bilbao-Vizcaya,GOW
rmsprop,1,10,0.007363178,0.26222896575927734,Bilbao-Vizcaya,GOW
rmsprop,1,50,0.0077047637,0.1472705453634262,Bilbao-Vizcaya,GOW
rmsprop,1,100,0.0084362095,0.17071807384490967,Bilbao-Vizcaya,GOW
rmsprop,1,200,0.008154116,0.2126687616109848,Bilbao-Vizcaya,GOW
rmsprop,5,10,0.008877755,1.8224490880966187,Bilbao-Vizcaya,GOW
rmsprop,5,50,0.008728064,1.1507304906845093,Bilbao-Vizcaya,GOW
rmsprop,5,100,0.008877755,0.5613647103309631,Bilbao-Vizcaya,GOW
rmsprop,5,200,0.008877755,0.26078417897224426,Bilbao-Vizcaya,GOW
rmsprop,10,10,0.008580896,2.019115924835205,Bilbao-Vizcaya,GOW
rmsprop,10,50,0.008877755,0.8547214269638062,Bilbao-Vizcaya,GOW
rmsprop,10,100,0.008777678,1.347560167312622,Bilbao-Vizcaya,GOW
rmsprop,10,200,0.00834111,0.4421757459640503,Bilbao-Vizcaya,GOW
rmsprop,15,10,0.008827575,1.2316536903381348,Bilbao-Vizcaya,GOW
rmsprop,15,50,0.008877755,0.7911155223846436,Bilbao-Vizcaya,GOW
rmsprop,15,100,0.008877755,0.5811874270439148,Bilbao-Vizcaya,GOW
rmsprop,15,200,0.008827575,0.8368836045265198,Bilbao-Vizcaya,GOW
adam,1,10,0.0064266287,0.18300239741802216,Bilbao-Vizcaya,COP
adam,1,50,0.007363178,0.19335272908210754,Bilbao-Vizcaya,COP
adam,1,100,0.007836905,0.2677120268344879,Bilbao-Vizcaya,COP
adam,1,200,0.006801438,0.2542632520198822,Bilbao-Vizcaya,COP
adam,5,10,0.008827575,2.070444107055664,Bilbao-Vizcaya,COP
adam,5,50,0.008877755,1.6921684741973877,Bilbao-Vizcaya,COP
adam,5,100,0.008580896,0.5782859325408936,Bilbao-Vizcaya,COP
adam,5,200,0.008728064,0.2619050443172455,Bilbao-Vizcaya,COP
adam,10,10,0.008877755,2.7004637718200684,Bilbao-Vizcaya,COP
adam,10,50,0.008877755,0.7927688956260681,Bilbao-Vizcaya,COP
adam,10,100,0.008877755,0.42634692788124084,Bilbao-Vizcaya,COP
adam,10,200,0.008877755,0.47237128019332886,Bilbao-Vizcaya,COP
adam,15,10,0.00834111,1.0441638231277466,Bilbao-Vizcaya,COP
adam,15,50,0.008877755,1.1510065793991089,Bilbao-Vizcaya,COP
adam,15,100,0.008877755,1.930595874786377,Bilbao-Vizcaya,COP
adam,15,200,0.008877755,1.9258040189743042,Bilbao-Vizcaya,COP
sgd,1,10,0.00834111,0.2188606560230255,Bilbao-Vizcaya,COP
sgd,1,50,0.008200468,0.19645899534225464,Bilbao-Vizcaya,COP
sgd,1,100,0.0063903034,0.19232136011123657,Bilbao-Vizcaya,COP
sgd,1,200,0.0063903034,0.19316184520721436,Bilbao-Vizcaya,COP
sgd,5,10,0.008877755,1.2082408666610718,Bilbao-Vizcaya,COP
sgd,5,50,0.008877755,1.1571369171142578,Bilbao-Vizcaya,COP
sgd,5,100,0.008777678,0.7719162702560425,Bilbao-Vizcaya,COP
sgd,5,200,0.008580896,0.4896998107433319,Bilbao-Vizcaya,COP
sgd,10,10,0.0071981065,1.5105198621749878,Bilbao-Vizcaya,COP
sgd,10,50,0.008777678,0.2998177409172058,Bilbao-Vizcaya,COP
